city,state_id,state_name,county_name,population,military,incorporated,timezone,zips,id
Indianola,WA,Washington,Kitsap,3520,FALSE,FALSE,America/Los_Angeles,98342 98346 98370,1840017337
Reardan,WA,Washington,Lincoln,582,FALSE,TRUE,America/Los_Angeles,99029,1840021110
Cowiche,WA,Washington,Yakima,960,FALSE,FALSE,America/Los_Angeles,98923,1840023852
Sunday Lake,WA,Washington,Snohomish,666,FALSE,TRUE,America/Los_Angeles,98292,1840042107
Rocky Point,WA,Washington,Kitsap,1449,FALSE,FALSE,America/Los_Angeles,98312,1840037507
Burbank,WA,Washington,Walla Walla,3398,FALSE,FALSE,America/Los_Angeles,99323,1840017383
Lakeland North,WA,Washington,King,12487,FALSE,TRUE,America/Los_Angeles,98001,1840074254
Granite Falls,WA,Washington,Snohomish,6565,FALSE,TRUE,America/Los_Angeles,98252,1840019787
Camas,WA,Washington,Clark,23331,FALSE,TRUE,America/Los_Angeles,98607,1840018524
Skokomish,WA,Washington,Mason,755,FALSE,FALSE,America/Los_Angeles,98584,1840018433
Cusick,WA,Washington,Pend Oreille,217,FALSE,TRUE,America/Los_Angeles,99119,1840021060
Rosalia,WA,Washington,Whitman,567,FALSE,TRUE,America/Los_Angeles,99170,1840021138
Longbranch,WA,Washington,Pierce,3236,FALSE,FALSE,America/Los_Angeles,98349 98351,1840023835
Granger,WA,Washington,Yakima,3542,FALSE,TRUE,America/Los_Angeles,98932,1840019872
North Fort Lewis,WA,Washington,Pierce,5009,TRUE,TRUE,America/Los_Angeles,98433,1840042007
Tampico,WA,Washington,Yakima,465,FALSE,FALSE,America/Los_Angeles,98903,1840023857
Tukwila,WA,Washington,King,20144,FALSE,TRUE,America/Los_Angeles,98108 98178 98168 98188 98138 98190,1840021120
Cathlamet,WA,Washington,Wahkiakum,553,FALSE,TRUE,America/Los_Angeles,98612,1840022327
Wenatchee,WA,Washington,Chelan,71512,FALSE,TRUE,America/Los_Angeles,98801,1840021074
Port Ludlow,WA,Washington,Jefferson,2642,FALSE,FALSE,America/Los_Angeles,98365,1840018388
Castle Rock,WA,Washington,Cowlitz,2833,FALSE,TRUE,America/Los_Angeles,98611,1840018501
Glacier,WA,Washington,Whatcom,102,FALSE,FALSE,America/Los_Angeles,98244,1840017292
Index,WA,Washington,Snohomish,205,FALSE,TRUE,America/Los_Angeles,98256,1840021082
Republic,WA,Washington,Ferry,1062,FALSE,TRUE,America/Los_Angeles,99166,1840019766
Bellevue,WA,Washington,King,144444,FALSE,TRUE,America/Los_Angeles,98004 98005 98006 98007 98008 98009 98015,1840018417
Malo,WA,Washington,Ferry,72,FALSE,FALSE,America/Los_Angeles,99150,1840026093
Anderson Island,WA,Washington,Pierce,1292,FALSE,TRUE,America/Los_Angeles,98303,1840041888
University Place,WA,Washington,Pierce,33401,FALSE,TRUE,America/Los_Angeles,98466 98467 98464,1840021130
Montesano,WA,Washington,Grays Harbor,8494,FALSE,TRUE,America/Los_Angeles,98563,1840019847
Rainier,WA,Washington,Thurston,2126,FALSE,TRUE,America/Los_Angeles,98576,1840021147
Fords Prairie,WA,Washington,Lewis,1812,FALSE,FALSE,America/Los_Angeles,98531,1840017377
Roy,WA,Washington,Pierce,820,FALSE,TRUE,America/Los_Angeles,98580,1840019856
Oso,WA,Washington,Snohomish,212,FALSE,FALSE,America/Los_Angeles,98223,1840018374
Marblemount,WA,Washington,Skagit,0,FALSE,FALSE,America/Los_Angeles,98267,1840017315
Elk Plain,WA,Washington,Pierce,14280,FALSE,FALSE,America/Los_Angeles,98387 98338,1840037546
Burlington,WA,Washington,Skagit,8783,FALSE,TRUE,America/Los_Angeles,98233,1840018367
Bangor Base,WA,Washington,Kitsap,6358,TRUE,TRUE,America/Los_Angeles,98315,1840036750
Beaux Arts Village,WA,Washington,King,326,FALSE,TRUE,America/Los_Angeles,98004,1840019838
Port Gamble Tribal Community,WA,Washington,Kitsap,920,FALSE,TRUE,America/Los_Angeles,98346,1840042014
Olympia,WA,Washington,Thurston,196078,FALSE,TRUE,America/Los_Angeles,98501 98502 98506 98504 98507 98508 98511,1840019865
East Wenatchee,WA,Washington,Douglas,13983,FALSE,TRUE,America/Los_Angeles,98802,1840019795
Addy,WA,Washington,Stevens,96,FALSE,FALSE,America/Los_Angeles,99101,1840025238
Minnehaha,WA,Washington,Clark,11767,FALSE,FALSE,America/Los_Angeles,98661,1840018518
Bryn Mawr-Skyway,WA,Washington,King,18365,FALSE,TRUE,America/Los_Angeles,98178,1840037012
Satsop,WA,Washington,Grays Harbor,572,FALSE,FALSE,America/Los_Angeles,98583 98541,1840018445
Riverbend,WA,Washington,King,2241,FALSE,FALSE,America/Los_Angeles,98045,1840037860
Easton,WA,Washington,Kittitas,395,FALSE,FALSE,America/Los_Angeles,98925,1840017354
Silverdale,WA,Washington,Kitsap,20664,FALSE,FALSE,America/Los_Angeles,98311 98370 98383,1840018406
Napavine,WA,Washington,Lewis,1893,FALSE,TRUE,America/Los_Angeles,98565 98532,1840019884
Lochsloy,WA,Washington,Snohomish,3188,FALSE,FALSE,America/Los_Angeles,98258,1840037500
Ellensburg,WA,Washington,Kittitas,23471,FALSE,TRUE,America/Los_Angeles,98926,1840019841
McKenna,WA,Washington,Pierce,978,FALSE,FALSE,America/Los_Angeles,98580 98558,1840023836
Fairfield,WA,Washington,Spokane,616,FALSE,TRUE,America/Los_Angeles,99012,1840021096
Northwest Stanwood,WA,Washington,Snohomish,144,FALSE,TRUE,America/Los_Angeles,98292,1840042009
Mansfield,WA,Washington,Douglas,339,FALSE,TRUE,America/Los_Angeles,98830,1840022286
Duvall,WA,Washington,King,7813,FALSE,TRUE,America/Los_Angeles,98019,1840018427
Markham,WA,Washington,Grays Harbor,238,FALSE,FALSE,America/Los_Angeles,98520,1840017359
Waller,WA,Washington,Pierce,8064,FALSE,FALSE,America/Los_Angeles,98404 98371 98443,1840037889
Longview,WA,Washington,Cowlitz,65619,FALSE,TRUE,America/Los_Angeles,98632,1840019904
Richland,WA,Washington,Benton,56243,FALSE,TRUE,America/Los_Angeles,99352 99354,1840019889
Rosedale,WA,Washington,Pierce,4459,FALSE,FALSE,America/Los_Angeles,98332,1840023839
Vancouver,WA,Washington,Clark,175673,FALSE,TRUE,America/Los_Angeles,98684 98664 98665 98660 98661 98662 98663 98682 98683 98687,1840021189
Bethel,WA,Washington,Kitsap,3673,FALSE,FALSE,America/Los_Angeles,98367,1840023792
Custer,WA,Washington,Whatcom,149,FALSE,FALSE,America/Los_Angeles,98248 98240,1840018344
Lofall,WA,Washington,Kitsap,2211,FALSE,FALSE,America/Los_Angeles,98370,1840023798
Fairwood,WA,Washington,King,19531,FALSE,FALSE,America/Los_Angeles,98058,1840037517
Winlock,WA,Washington,Lewis,1354,FALSE,TRUE,America/Los_Angeles,98596,1840021164
Sumner,WA,Washington,Pierce,10093,FALSE,TRUE,America/Los_Angeles,98390,1840021128
Cottage Lake,WA,Washington,King,23941,FALSE,FALSE,America/Los_Angeles,98072 98077,1840037848
Puget Island,WA,Washington,Wahkiakum,899,FALSE,TRUE,America/Los_Angeles,98612,1840042033
Woods Creek,WA,Washington,Snohomish,5826,FALSE,FALSE,America/Los_Angeles,98272,1840037864
Washougal,WA,Washington,Clark,15711,FALSE,TRUE,America/Los_Angeles,98671,1840021190
Sisco Heights,WA,Washington,Snohomish,2810,FALSE,FALSE,America/Los_Angeles,98223,1840037510
Canterwood,WA,Washington,Pierce,3220,FALSE,FALSE,America/Los_Angeles,98332,1840037842
Wapato,WA,Washington,Yakima,7686,FALSE,TRUE,America/Los_Angeles,98951,1840021153
Lower Elochoman,WA,Washington,Wahkiakum,160,FALSE,TRUE,America/Los_Angeles,98612,1840041981
Lake Goodwin,WA,Washington,Snohomish,3879,FALSE,FALSE,America/Los_Angeles,98223 98292 98271,1840037872
Banks Lake South,WA,Washington,Grant,270,FALSE,TRUE,America/Los_Angeles,99115,1840034884
Kent,WA,Washington,King,128458,FALSE,TRUE,America/Los_Angeles,98031 98030 98032 98042 98035 98064 98089,1840018424
Bickleton,WA,Washington,Klickitat,67,FALSE,FALSE,America/Los_Angeles,99322,1840017400
Ryderwood,WA,Washington,Cowlitz,332,FALSE,FALSE,America/Los_Angeles,98581,1840025275
Cavalero,WA,Washington,Snohomish,5284,FALSE,TRUE,America/Los_Angeles,98258 98205,1840041913
La Conner,WA,Washington,Skagit,3475,FALSE,TRUE,America/Los_Angeles,98257,1840021068
Martha Lake,WA,Washington,Snohomish,18566,FALSE,FALSE,America/Los_Angeles,98087 98012 98208,1840037875
George,WA,Washington,Grant,507,FALSE,TRUE,America/Los_Angeles,98848 98824,1840019814
Snohomish,WA,Washington,Snohomish,10089,FALSE,TRUE,America/Los_Angeles,98290 98291,1840021078
Eatonville,WA,Washington,Pierce,3038,FALSE,TRUE,America/Los_Angeles,98328,1840021131
Carson,WA,Washington,Skamania,2688,FALSE,FALSE,America/Los_Angeles,98610,1840017391
Almira,WA,Washington,Lincoln,276,FALSE,TRUE,America/Los_Angeles,99103,1840021108
Nooksack,WA,Washington,Whatcom,1560,FALSE,TRUE,America/Los_Angeles,98247 98276,1840019753
Mount Vista,WA,Washington,Clark,8525,FALSE,FALSE,America/Los_Angeles,98642 98686,1840037858
High Bridge,WA,Washington,Snohomish,3028,FALSE,TRUE,America/Los_Angeles,98296 98272,1840041937
Lakeland South,WA,Washington,King,13982,FALSE,TRUE,America/Los_Angeles,98001 98003,1840074270
Kenmore,WA,Washington,King,22867,FALSE,TRUE,America/Los_Angeles,98028,1840018423
Neah Bay,WA,Washington,Clallam,994,FALSE,FALSE,America/Los_Angeles,98357,1840023937
Cliffdell,WA,Washington,Yakima,80,FALSE,FALSE,America/Los_Angeles,98937,1840023851
Port Angeles East,WA,Washington,Clallam,3627,FALSE,TRUE,America/Los_Angeles,98362,1840074570
Burien,WA,Washington,King,51671,FALSE,TRUE,America/Los_Angeles,98146 98148 98168 98166 98062,1840018420
Taholah,WA,Washington,Grays Harbor,714,FALSE,FALSE,America/Los_Angeles,98587,1840018447
Wauna,WA,Washington,Pierce,4412,FALSE,FALSE,America/Los_Angeles,98329,1840023842
Connell,WA,Washington,Franklin,5360,FALSE,TRUE,America/Los_Angeles,99326,1840018479
Disautel,WA,Washington,Okanogan,22,FALSE,FALSE,America/Los_Angeles,98841,1840023755
Santiago,WA,Washington,Grays Harbor,26,FALSE,TRUE,America/Los_Angeles,98587,1840042040
Orting,WA,Washington,Pierce,7983,FALSE,TRUE,America/Los_Angeles,98360,1840019858
Colville,WA,Washington,Stevens,5064,FALSE,TRUE,America/Los_Angeles,99114,1840018361
Marysville,WA,Washington,Snohomish,166541,FALSE,TRUE,America/Los_Angeles,98271 98270,1840019789
Walla Walla,WA,Washington,Walla Walla,57779,FALSE,TRUE,America/Los_Angeles,99362,1840021174
Zillah,WA,Washington,Yakima,3125,FALSE,TRUE,America/Los_Angeles,98953,1840021155
Curlew,WA,Washington,Ferry,149,FALSE,FALSE,America/Los_Angeles,99118,1840025242
Key Center,WA,Washington,Pierce,3810,FALSE,FALSE,America/Los_Angeles,98349 98329 98394 98395,1840023833
Hoodsport,WA,Washington,Mason,331,FALSE,FALSE,America/Los_Angeles,98548,1840025233
Spanaway,WA,Washington,Pierce,30528,FALSE,FALSE,America/Los_Angeles,98387 98445,1840018451
Mattawa,WA,Washington,Grant,5122,FALSE,TRUE,America/Los_Angeles,99349,1840022292
Clallam Bay,WA,Washington,Clallam,366,FALSE,FALSE,America/Los_Angeles,98326,1840025247
Prairie Ridge,WA,Washington,Pierce,12733,FALSE,FALSE,America/Los_Angeles,98360 98391,1840037882
Rockport,WA,Washington,Skagit,76,FALSE,FALSE,America/Los_Angeles,98283,1840018365
Stansberry Lake,WA,Washington,Pierce,2747,FALSE,TRUE,America/Los_Angeles,98329,1840042090
Copalis Beach,WA,Washington,Grays Harbor,559,FALSE,FALSE,America/Los_Angeles,98535 98536,1840017356
Frederickson,WA,Washington,Pierce,21737,FALSE,FALSE,America/Los_Angeles,98387 98375 98446,1840037551
Asotin,WA,Washington,Asotin,1295,FALSE,TRUE,America/Los_Angeles,99402,1840018500
Mill Creek,WA,Washington,Snohomish,20832,FALSE,TRUE,America/Los_Angeles,98012 98082,1840019790
Bell Hill,WA,Washington,Clallam,875,FALSE,FALSE,America/Los_Angeles,98382,1840037847
Green Bluff,WA,Washington,Spokane,544,FALSE,FALSE,America/Los_Angeles,99021 99005,1840023785
Clayton,WA,Washington,Stevens,361,FALSE,FALSE,America/Los_Angeles,99110,1840025239
Puyallup,WA,Washington,Pierce,41001,FALSE,TRUE,America/Los_Angeles,98372 98371 98374 98373 98352,1840019859
Hockinson,WA,Washington,Clark,5267,FALSE,FALSE,America/Los_Angeles,98606,1840017399
Lake McMurray,WA,Washington,Skagit,134,FALSE,FALSE,America/Los_Angeles,98274,1840037893
Bucoda,WA,Washington,Thurston,583,FALSE,TRUE,America/Los_Angeles,98530,1840021143
Issaquah,WA,Washington,King,37487,FALSE,TRUE,America/Los_Angeles,98029 98027,1840018422
Odessa,WA,Washington,Lincoln,876,FALSE,TRUE,America/Los_Angeles,99159,1840022295
Hazel Dell,WA,Washington,Clark,21449,FALSE,FALSE,America/Los_Angeles,98665,1840037662
McMillin,WA,Washington,Pierce,1673,FALSE,FALSE,America/Los_Angeles,98360 98374,1840023837
Wilbur,WA,Washington,Lincoln,839,FALSE,TRUE,America/Los_Angeles,99185,1840022296
Skamokawa Valley,WA,Washington,Wahkiakum,300,FALSE,TRUE,America/Los_Angeles,98647,1840042053
Centerville,WA,Washington,Klickitat,109,FALSE,FALSE,America/Los_Angeles,98613,1840017401
Nile,WA,Washington,Yakima,98,FALSE,FALSE,America/Los_Angeles,98937,1840023854
Spokane Valley,WA,Washington,Spokane,97847,FALSE,TRUE,America/Los_Angeles,99206 99016 99212 99216 99037 99211 99213 99215,1840021094
Woodland,WA,Washington,Cowlitz,6531,FALSE,TRUE,America/Los_Angeles,98674,1840021181
Lewisville,WA,Washington,Clark,1503,FALSE,FALSE,America/Los_Angeles,98604,1840037855
Vantage,WA,Washington,Kittitas,18,FALSE,FALSE,America/Los_Angeles,98950,1840018441
Gorst,WA,Washington,Kitsap,257,FALSE,FALSE,America/Los_Angeles,98312 98367,1840023795
Lake Morton-Berrydale,WA,Washington,King,11201,FALSE,TRUE,America/Los_Angeles,98092 98042,1840074253
